request_time, read_time, ocr_time, iban
1629107623.976444, 0.0, 0.5804412364959717, None
1629109020.0319133, 0.0009958744049072266, 0.20100188255310059, None
1629115466.0273426, 0.009999752044677734, 0.18403077125549316, FR7630004999990001234567890BIC
1629115470.6516814, 0.0, 0.2570381164550781, FR7630003033920005041417757Iden
1629115474.9410672, 0.0, 0.3710777759552002, FR8414508000407667174973Z30BIC
1629115479.0019426, 0.0, 0.5510015487670898, None
1629115483.228054, 0.0, 0.18700265884399414, FR7630004999990001234567890BIC
1629115498.500458, 0.0, 0.1889970302581787, FR7630004999990001234567890
1629115502.3713257, 0.0, 0.25600123405456543, FR7630003033920005041417757I
1629115509.6007488, 0.0, 0.3738529682159424, FR8414508000407667174973Z30
1629115515.5648873, 0.0, 0.18799161911010742, FR7630004999990001234567890
1629118326.310663, 0.0, 0.23830175399780273, FR7630004999990001234567890
1629118331.0193954, 0.000997781753540039, 0.28690481185913086, FR7630003033920005041417757I
1629118335.3820155, 0.0, 0.2071995735168457, FR7630004999990001234567890
1629118338.303329, 0.0, 0.4094383716583252, FR8414508000407667174973Z30
1629118347.8809392, 0.00099945068359375, 0.41203737258911133, FR8414508000407667174973Z30
1629118351.644239, 0.0, 0.21300911903381348, FR7630004999990001234567890
1629118360.1666868, 0.0, 0.22169041633605957, FR7630004999990001234567890
1629121919.3320007, 0.0, 0.1999988555908203, FR7630004999990001234567890
1629124729.1050453, 0.0, 0.35903429985046387, FR8414508000407667174973Z30
1629124735.4691634, 0.0, 0.1830000877380371, FR7630004999990001234567890
1629124739.2566211, 0.0, 0.5281655788421631, None
